date,primary type,secondary type,latitude,longitude
2016-01-07 09:15:00,BURGLARY,UNLAWFUL ENTRY,41.78211045,-87.612823613
2016-01-06 23:00:00,CRIMINAL DAMAGE,TO VEHICLE,41.763400951,-87.610375537
2016-01-06 21:45:00,CRIMINAL DAMAGE,TO VEHICLE,41.762214524,-87.606320311
2016-01-06 21:05:00,BURGLARY,UNLAWFUL ENTRY,41.775967827,-87.600962756
2016-01-06 19:50:00,ROBBERY,ARMED: HANDGUN,41.780580821,-87.589830406
2016-01-05 19:49:00,CRIMINAL DAMAGE,TO PROPERTY,41.768989383,-87.620202965
2016-01-05 18:00:00,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,41.78138577,-87.613231368
2016-01-05 15:45:00,CRIMINAL DAMAGE,TO PROPERTY,41.78146195,-87.614440445
2016-01-05 09:45:00,BURGLARY,FORCIBLE ENTRY,41.776178689,-87.602184851
2016-01-04 20:25:00,CRIMINAL DAMAGE,TO PROPERTY,41.767054957,-87.614088121
2016-01-04 17:30:00,BURGLARY,HOME INVASION,41.779120086,-87.615599494
2016-01-04 16:30:00,BURGLARY,HOME INVASION,41.779059693,-87.615596501
2016-01-04 15:32:00,CRIMINAL DAMAGE,TO PROPERTY,41.770944848,-87.588017121
2016-01-04 06:30:00,CRIMINAL DAMAGE,TO VEHICLE,41.775748268,-87.613114795
2016-01-03 23:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.778249684,-87.617284685
2016-01-03 15:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.781732477,-87.593083923
2016-01-03 15:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.781732477,-87.593083923
2016-01-03 15:00:00,CRIMINAL DAMAGE,TO VEHICLE,41.781870179,-87.597859754
2016-01-03 11:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.776048426,-87.590011073
2016-01-03 01:50:00,CRIMINAL DAMAGE,TO VEHICLE,41.783006575,-87.615691814
2016-01-02 23:52:00,CRIMINAL DAMAGE,TO PROPERTY,41.777725763,-87.615563714
2016-01-02 14:36:00,ROBBERY,ARMED: HANDGUN,41.783891154,-87.615399623
2016-01-02 11:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.783890879,-87.615355627
2016-01-01 12:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.770878684,-87.585015558
2016-01-01 00:40:00,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,41.765185884,-87.601884473
2016-01-01 00:10:00,CRIMINAL DAMAGE,TO PROPERTY,41.778047465,-87.586387726
2016-01-01 00:05:00,CRIMINAL DAMAGE,TO PROPERTY,41.763232864,-87.611576015
